First Name,Last Name,Age,Gender,Team,Event 1,Event 2,Event 3,Medley,Free
Darius,Popa,13,m,lib,back,im,free,yes,yes
Madison,Romero,8,f,lib,im,breast,free,yes,yes
Gibson,Jones,12,m,lib,fly,back,free,yes,yes
Kaydance,Harvey,9,f,lib,back,breast,free,yes,yes
Sincere,Whitaker,9,f,lib,im,breast,free,yes,yes
Saniyah,Arnold-Goodman,12,f,lib,fly,im,breast,yes,yes
Shreeyanshi,Tripathy,10,f,lib,back,breast,free,yes,yes
Quinn,Stewart,12,f,lib,fly,back,breast,yes,yes
Aiden,Gutierrez,13,m,lib,back,breast,free,yes,yes
